Own,Res,PolyNm,PolyPr,MxPolyPr,TotOwn,AvParcel
IND,0,4,0.2493900000000,0.2649200000000,40.8470400000000,38.45200000000
IND,0,3,0.3338200000000,0.5006500000000,77.8480400000000,51.90740000000
IND,0,2,0.6189300000000,0.7397000000000,116.1411700000000,97.17900000000
IND,0,3,0.3387500000000,0.5247500000000,81.8976800000000,52.86890000000
IND,0,2,0.5149800000000,0.7602100000000,198.3954600000000,81.41100000000
IND,0,1,1.0166000000000,1.0166000000000,160.2445600000000,160.24500000000
IND,0,4,0.2550900000000,0.6137700000000,95.3114400000000,39.61210000000
IND,0,3,0.3387000000000,0.7614300000000,117.8398700000000,52.41830000000
IND,0,6,0.1698800000000,0.2678300000000,41.8791700000000,37.46080000000
IND,0,6,0.1692100000000,0.4148700000000,86.9381000000000,30.26020000000
OTHER,0,4,0.2565500000000,0.2640000000000,1709.5411300000000,40.43740000000
