ID,X,Y,Cover1857,Cover1930,Cover1987
24504023,455857.5377,659168.5678,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504024,456657.7658,659185.5381,Lowland Forest,Ag-Grassland,Ag-Grassland
24504031,455050.5943,659971.4855,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24504032,454243.8246,659974.5987,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504033,454243.3514,659160.49,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504034,455052.5067,659160.3478,Lowland Forest,Ag-Grassland,Ag-Grassland
24504041,453436.376,659981.1498,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504042,452629.99,659992.0942,Northern Hardwood,Ag-Grassland,Ag-Grassland
24504043,452626.1832,659162.9871,Boreal Conifer-Hardwood,Ag-Grassland,Ag-Grassland
24504044,453434.4285,659161.1919,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504051,451826.9451,660002.5555,Northern Hardwood,Ag-Grassland,Ag-Grassland
24504052,451024.8642,660010.8622,Pine Species,Ag-Grassland,Ag-Grassland
24504053,451019.0392,659173.204,Pine Species,Ag-Grassland,Ag-Grassland
24504054,451820.9319,659167.2157,Boreal Conifer-Hardwood,Ag-Grassland,Ag-Grassland
24504061,450221.2461,660020.4779,Pine Species,Ag-Grassland,Upland Shrub-Herb
24504062,449391.0725,660033.5231,Northern Hardwood,Ag-Grassland,Aspen-Paper Birch
24504063,449389.293,659189.7698,Hemlock-Yellow Birch,Northern Hardwood,Boreal Conifer-Hardwood
24504064,450215.9906,659180.769,Pine Species,Ag-Grassland,Ag-Grassland
24504071,450208.4516,658375.6147,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24504072,449384.4925,658381.5244,Hemlock-Yellow Birch,Northern Hardwood,Aspen-Paper Birch
24504073,449377.2288,657569.8128,Hemlock-Yellow Birch,Northern Hardwood,Ag-Grassland
24504074,450200.4833,657569.3152,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24504081,451813.7877,658363.8986,Northern Hardwood,Ag-Grassland,Ag-Grassland
24504082,451012.0207,658369.5731,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504083,451003.67,657567.8604,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24504084,451806.1655,657563.0142,Lowland Forest,Ag-Grassland,Ag-Grassland
24504091,453430.848,658355.6489,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504092,452620.0986,658359.1498,Boreal Conifer-Hardwood,Ag-Grassland,Upland Shrub-Herb
24504093,452613.8673,657554.2926,Northern Hardwood,Northern Hardwood,Ag-Grassland
24504094,453425.7737,657548.4336,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504101,455043.8071,658362.2154,Lowland Forest,Ag-Grassland,Ag-Grassland
24504102,454237.8975,658357.6816,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504103,454229.9409,657554.3252,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504104,455026.6623,657568.2856,Boreal Conifer-Hardwood,Ag-Grassland,Upland Shrub-Herb
24504111,456648.5783,658382.7093,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504112,455848.28,658369.5509,Hemlock-Yellow Birch,Northern Hardwood,Aspen-Paper Birch
24504113,455826.8948,657578.8113,Boreal Conifer-Hardwood,Northern Hardwood,Aspen-Paper Birch
24504114,456630.1199,657585.4939,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504121,458244.5473,658375.2864,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504122,457446.53,658384.5096,Lowland Forest,Ag-Grassland,Ag-Grassland
24504123,457431.1404,657583.1721,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24504124,458235.4277,657578.9846,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504131,458231.2286,656781.1124,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504132,457425.8216,656783.7057,Northern Hardwood,Northern Hardwood,Aspen-Paper Birch
24504133,457428.438,655984.6625,Other or No Data,Other or No Data,Other or No Data
24504134,458231.0756,655980.1967,Northern Hardwood,Northern Hardwood,Upland Shrub-Herb
24504141,456619.0904,656785.6127,Northern Hardwood,Northern Hardwood,Upland Shrub-Herb
24504142,455814.9489,656781.7271,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24504151,455016.2957,656770.4498,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24504152,454224.9336,656752.8939,Hemlock-Yellow Birch,Northern Hardwood,Aspen-Paper Birch
24504153,454220.9514,655954.5802,Lowland Forest,Aspen-Paper Birch,Northern Hardwood
24504161,453422.6236,656745.2752,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24504162,452609.2543,656749.1269,Northern Hardwood,Northern Hardwood,Ag-Grassland
24504164,453420.5243,655945.6511,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24504171,451801.7609,656755.9573,Northern Hardwood,Ag-Grassland,Ag-Grassland
24504172,450998.4843,656760.7547,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24504181,450194.367,656762.6351,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24504182,449372.4656,656763.4961,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24504183,449367.6706,655962.1623,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24504184,450188.2384,655955.3201,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24505011,448566.925,660043.1598,Pine Species,Aspen-Paper Birch,Aspen-Paper Birch
24505012,447770.5034,660050.541,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505013,447771.1036,659215.63,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505014,448567.2312,659200.6702,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24505021,446968.7087,660061.837,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505022,446161.8803,660078.816,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24505023,446155.4234,659257.9051,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505024,446967.3308,659234.6536,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24505031,445355.6074,660091.5575,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24505032,444551.3986,660098.4745,Northern Hardwood,Aspen-Paper Birch,Ag-Grassland
24505033,444544.0721,659281.4396,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24505034,445347.9275,659273.7735,Hemlock-Yellow Birch,Other or No Data,Aspen-Paper Birch
24505041,443747.2422,660101.3803,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24505042,442942.0336,660099.7562,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
