FIPS	pop2006	pop2000	pop1990	pop1980	pop1970	pop1960
18131	13402	13755	12643	13258	12534	12837
18133	37963	36019	30315	29163	26932	24927
18135	26171	27401	27148	29997	28915	28434
18137	28818	26523	24616	24398	21138	20641
18139	17392	18261	18129	19604	20352	20393
18141	266931	265559	247052	241617	245045	238614
18143	24181	22960	20991	20422	17144	14643
18145	44436	43445	40307	39887	37797	34093
18147	20952	20391	19490	19361	17134	16074
18149	23363	23556	22747	21997	19280	17911
18151	34185	33214	27446	24694	20159	17184
18153	21475	21751	18993	21107	19889	21721
18155	10613	9065	7738	7153	6306	7092
18157	172780	148955	130598	121702	109378	89122
18159	15936	16577	16119	16819	16650	15856
18161	7516	7349	6976	6860	6582	6457
18163	179703	171922	165058	167515	168772	165794
18165	16212	16788	16773	18229	16793	17683
18167	107848	105848	106107	112385	114528	108458
18169	32888	34960	35069	36640	35553	32605
18171	8508	8419	8176	8976	8705	8545
18173	59689	52383	44920	41474	27972	23577
18175	28262	27223	23717	21932	19278	17819
18177	68917	71097	71951	76058	79109	74039
18179	27636	27600	25948	25401	23821	21220
18181	24643	25267	23265	23867	20995	19709
18183	33292	30707	27651	26215	23395	20954
26001	10942	11719	10145	9740	7113	6352
26003	9601	9862	8972	9225	8568	9250
26005	111408	105665	90509	81555	66575	57729
26007	29598	31314	30605	32315	30708	28556
26009	23580	23110	18185	16194	12612	10373
26011	15899	17269	14931	14706	11149	9860
26013	8860	8746	7954	8484	7789	7151
26015	59173	56755	50057	45781	38166	31738
26017	107771	110157	111723	119881	117339	107042
26019	17525	15998	12200	11205	8593	7834
26021	156813	162453	161378	171276	163875	149865
26023	45248	45787	41502	40188	37906	34903
26025	136146	137985	135982	141557	141963	138858
26027	52293	51104	49477	49499	43312	36932
26029	25949	26090	21468	19907	16541	13421
26031	26152	26448	21398	20649	16573	14550
26033	38520	38543	34604	29029	32412	32655
26035	30926	31252	24952	23822	16695	11647
26037	75382	64753	57883	55893	48492	37969
26039	14074	14273	12260	9465	6482	4971
26041	37069	38520	37780	38947	35924	34298
26043	26168	27472	26831	25341	23753	23917
26045	107759	103655	92879	88337	68892	49684
26047	32694	31437	25040	22992	18331	15904
26049	425790	436141	430459	450449	444341	374313
26051	25692	26023	21896	19957	13471	10769
26053	16427	17370	18052	19686	20676	24370
26055	86986	77654	64273	54899	39175	33490
26057	42476	42285	38982	40448	39246	37012
26059	46688	46527	43431	42071	37171	34742
26061	36628	36016	35446	37872	34652	35654
26063	33118	36079	34951	36459	34083	34006
26065	280895	279320	281912	275520	261039	211296
26067	63905	61518	57024	51815	45848	43132
26069	25887	27339	30209	28349	24905	16505
26071	11817	13138	13175	13635	13813	17184
26073	70311	63351	54624	54110	44594	35348
26075	160248	158422	149756	151495	143274	131994
26077	250331	238603	223411	212378	201550	169712
26079	17153	16571	13497	10952	5272	4382
26081	602622	574335	500631	444506	411044	363187
26083	2156	2301	1701	1963	2264	2417
26085	11539	11333	8583	7711	5661	5338
26087	88319	87904	74768	70038	52317	41926
26089	21708	21119	16527	14007	10872	9321
26091	99892	98890	91476	89948	81609	77789
26093	180967	156951	115645	100289	58967	38233
26095	6631	7024	5763	6659	6789	7827
26097	11113	11943	10674	10178	9660	10853
26099	840978	788149	717400	694600	625309	405804
26101	24733	24527	21265	23019	20094	19042
26103	67077	64634	70887	74101	64686	56154
26105	28705	28274	25537	26365	22612	21929
26107	42798	40553	37308	36961	27992	21051
26109	24029	25326	24920	26201	24587	24685
26111	83629	82874	75651	73578	63769	51450
26113	14849	14478	12147	10009	7126	6784
26115	152021	145945	133600	134659	118479	101120
26117	63342	61266	53059	47555	39660	35795
26119	9765	10315	8936	7492	5247	4424
26121	172188	170200	158983	157589	157426	149943
26123	48460	47874	38202	34917	27992	24160
26125	1202362	1194156	1083592	1011793	907871	690259
26127	26570	26873	22454	22002	17984	16547
26129	21699	21645	18681	16436	11903	9680
26131	6780	7818	8854	9861	10548	10584
26133	23528	23197	20146	18928	14838	13595
26135	8640	9418	7842	6858	4726	3447
26137	24164	23301	17957	14993	10422	7545
26139	263801	238314	187768	157174	128181	98719
26141	13376	14411	13743	14267	12836	13117
26143	24449	25469	19776	16374	9892	7200
26145	200169	210039	211946	228059	219743	190752
26147	163040	164235	145607	138802	120175	107201
26149	61295	62422	58913	56083	47392	42332
26151	43114	44547	39928	40789	34889	32314
26153	8485	8903	8302	8575	8226	8953
26155	70648	71687	69770	71140	63075	53446
26157	55729	58266	55498	56961	48603	43305
26159	76258	76263	70060	66814	56173	48395
26161	344791	322895	282937	264748	234103	172440
26163	1820584	2061162	2111687	2337891	2666751	2666297
26165	32735	30484	26360	25102	19717	18466
27001	16202	15301	12425	13404	11403	12162
27003	330844	298084	243641	195998	154556	85916
27005	32504	30000	27881	29336	24372	23959
27007	44442	39650	34384	30982	26373	23425
27009	38451	34226	30185	25187	20841	17287
27011	5269	5820	6285	7716	7941	8954
27013	64013	55941	54044	52314	52322	44385
27015	25893	26911	26984	28645	28887	27676
27017	35386	31671	29259	29936	28072	27932
27019	91042	70205	47915	37046	28310	21358
27021	28567	27150	21791	21050	17323	16720
27023	12441	13088	13228	14941	15109	16320
27025	53887	41101	30521	25717	17492	13419
27027	58999	51229	50422	49327	46585	39080
27029	8695	8423	8309	8761	8013	8864
27031	5176	5168	3868	4092	3423	3377
27033	11687	12167	12694	14854	14887	16166
27035	62500	55099	44249	41722	34826	32134
27037	398552	355904	275227	194279	139808	78303
27039	20087	17731	15731	14773	13037	13259
27041	36009	32821	28674	27839	22892	21313
27043	14553	16181	16937	19714	20896	23685
27045	20866	21122	20777	21930	21916	23768
27047	31255	32584	33060	36329	38064	37891
27049	46183	44127	40690	38749	34763	33035
27051	6018	6289	6246	7171	7462	8870
27053	1152425	1116200	1032431	941411	960080	842854
27055	19027	19718	18497	18382	17556	16588
27057	20428	18376	14939	14098	10583	9962
27059	37816	31287	25921	23600	16560	13530
27061	45058	43992	40863	43069	35530	38006
27063	10266	11268	11677	13690	14352	15501
27065	16239	14996	12802	12161	9775	9007
27067	42239	41203	38761	36763	30548	29987
27069	4552	5285	5767	6672	6853	8343
27071	13311	14355	16299	17571	17131	18190
27073	7259	8067	8924	10592	11164	13330
27075	10866	11058	10415	13043	13351	13702
27077	4045	4522	4076	3764	3987	4304
27079	27703	25426	23239	23434	21332	19906
27081	5896	6429	6890	8207	8143	9651
27083	25857	25425	24789	25207	24273	22655
27085	36651	34898	32030	29657	27662	24401
27087	5413	5190	5044	5535	5638	6341
27089	9439	10155	10993	13027	13060	14262
27091	20840	21802	22914	24687	24316	26986
27093	23300	22644	20846	20594	18810	18887
27095	26097	22330	18670	18430	15703	14560
27097	33198	31712	29604	29311	26949	26641
27099	39163	38603	37385	40390	43783	48498
27101	8725	9165	9660	11507	12508	14743
27103	32727	29771	28076	26929	24518	23196
27105	21378	20832	20098	21840	23208	23365
27107	6852	7442	7975	9379	10008	11253
27109	144248	124277	106470	92006	84104	65532
27111	57303	57159	50714	51937	46097	48960
27113	13930	13584	13306	15258	13266	12468
27115	29750	26530	21264	19871	16821	17004
27117	9596	9895	10491	11690	12791	13605
27119	31600	31369	32498	34844	34435	36182
27121	10995	11236	10745	11657	11107	11914
27123	508640	511035	485765	459784	476255	422525
27125	4089	4299	4525	5471	5388	5830
27127	16059	16815	17254	19341	20024	21718
27129	15730	17154	17673	20401	21139	23249
27131	64142	56665	49183	46087	41582	38988
27133	9687	9721	9806	10703	11346	11864
27135	15629	16338	15026	12574	11569	12154
27137	200226	200528	198213	222229	220693	231588
27139	129928	89498	57846	43784	32423	21909
27141	88499	64417	41945	29908	18344	12861
27143	15226	15356	14366	15448	15845	16228
27145	150642	133166	118791	108161	95400	80345
27147	36576	33680	30729	30328	26931	25029
27149	9726	10053	10634	11322	11218	11262
27151	9783	11956	10724	12920	13177	14936
27153	24895	24426	23363	24991	22114	23119
27155	3558	4134	4463	5542	6254	7503
27157	21676	21610	19744	19335	17224	17007
27159	13843	13713	13154	14192	12412	12199
27161	19136	19526	18079	18448	16663	16041
27163	238136	201130	145896	113571	82948	52432
27165	11211	11876	11682	12361	13298	14460
27167	6576	7138	7516	8454	9389	10650
27169	51461	49985	47828	46256	44409	40937
27171	124700	89986	68710	58681	38933	29935
27173	10438	11080	11684	13653	14418	15523
55001	20875	18643	15682	13457	9234	7566
55003	16157	16866	16307	16783	16743	17375
55005	45870	44963	40750	38730	33955	34270
55007	15014	15013	14008	13822	11683	11910
55009	248007	226778	194594	175280	158244	125082
55011	13587	13804	13584	14309	13743	14202
55013	15457	15674	13084	12340	9276	9214
55015	48971	40631	34291	30867	27604	22268
55017	62415	55195	52360	52127	47717	45096
55019	34690	33557	31647	32910	30361	31527
55021	56833	52468	45088	43222	40150	36708
55023	16644	17243	15940	16556	15252	16351
55025	488073	426526	367085	323545	290272	222095
55027	88759	85897	76559	75064	69004	63170
55029	27785	27961	25690	25029	20106	20685
55031	44159	43287	41758	44421	44657	45008
55033	43857	39858	35909	34314	29154	26156
55035	98736	93142	85183	78805	67219	58300
55037	4423	5088	4590	4172	3298	3437
55039	101633	97296	90083	88964	84567	75085
55041	9304	10024	8776	9044	7691	7542
55043	51208	49597	49264	51736	48398	44419
55045	36842	33647	30339	30012	26714	25851
55047	19051	19105	18651	18370	16878	15418
55049	23687	22780	20150	19802	19306	19631
55051	5916	6861	6153	6730	6533	7830
55053	20449	19100	16588	16831	15325	15151
55055	83686	74021	67783	66152	60060	50094
55057	26664	24316	21650	21039	18455	17490
55059	166426	149577	128181	123137	117917	100615
55061	20574	20187	18878	19539	18961	18282
55063	114638	107120	97904	91056	80468	72465
55065	16836	16137	16076	17412	17456	18142
55067	19977	20740	19505	19978	19220	19916
55069	28743	29641	26993	26555	23499	22338
55071	81442	82887	80421	82918	82294	75215
55073	134063	125834	115400	111270	97457	88874
55075	41749	43384	40548	39314	35810	34660
55077	15404	15832	12321	11672	8865	8516
55079	947735	940164	959275	964988	1054063	1036041
55081	44673	40899	36633	35074	31610	31241
55083	83841	80860	71273	68248	60810	61961
55085	35998	36776	31679	31216	24427	22112
55087	176695	160971	140510	128799	119356	101794
55089	86395	82317	72831	66981	54421	38441
55091	7469	7213	7107	7477	7319	7332
55093	41019	36804	32765	31149	26652	22503
55095	44205	41319	34773	32351	26666	24968
55097	70019	67182	61405	57420	47541	36964
55099	14159	15822	15600	15788	14520	14370
55101	195408	188831	175034	173132	170838	141781
55103	18021	17924	17521	17476	17079	17684
55105	160331	152307	139510	139420	131970	113913
55107	14755	15347	15079	15589	14238	14794
55109	84345	63155	50251	43262	34354	29164
55111	61976	55225	46975	43469	39057	36179
55113	16557	16196	14181	12843	9670	9475
55117	115507	112646	103877	100935	96660	86484
55119	20689	19680	18901	18817	16958	17843
55121	28816	27010	25263	26158	23344	23377
55123	29773	28056	25617	25642	24557	25663
55125	21430	21033	17707	16535	10958	9332
55127	102228	93759	75000	71507	63444	52368
55129	15911	16036	13772	13174	10601	10301
55131	131887	117493	95328	84848	63839	46119
55133	389891	360767	304715	280326	231365	158249
55135	52410	51731	46104	42831	37780	35340
55137	24496	23154	19385	18526	14795	13497
55139	166994	156763	140320	131703	129931	107928
55141	74749	75555	73605	72799	65362	59105
