row.names,state,st,county,long,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,ACRES,SAW,XERIC,HYDRIC,MAXTF,PRCPF,MAXTW,PRCPW,MAXTSP,PRCPSP,MAXTSU,PRCPSU,LNELEV,NATFOR,PHAT,YneighB.1,YneighB.2,YneighB.3,YneighB.4,YneighB.5,YneighB.6,YneighB.7,YneighB.8,YneighB.9,YneighB.10,YneighB.11,YneighB.12,YneighB.13,YneighB.14,YneighB.15,YneighB.16,YneighB.17,YneighB.18,YneighB.19,YneighB.20,YneighB.21,YneighB.22,YneighB.23,YneighB.24,YneighB.25,YneighB.26,YneighB.27,YneighB.28,YneighB.29,YneighB.30,YneighB.31,YneighB.111,YneighB.222,YneighB.33,YneighB.44,YneighB.55,YneighB.66,YneighB.77,YneighB.88,YneighB.99,YneighB.1010,YneighB.1111,YneighB.1212,YneighB.1313,YneighB.1414,YneighB.1515,YneighB.1616,YneighB.1717,YneighB.1818,YneighB.1919,YneighB.2020,YneighB.2121,YneighB.2222,YneighB.2323,YneighB.2424,YneighB.2525,YneighB.2626,YneighB.2727,YneighB.2828,YneighB.2929,YneighB.3030,YneighB.3131
60,North Carolina,37,119,-80.8331,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.51661e5, 53  ,  0  ,  4.2,71.7319,3.3633,51.7122,3.6712,71.0598,3.6505,86.8185,3.6832,6.5806,  0  ,0.4194,0,0,3,2,1,1,1,0,0,2,1,0,4,4,3,4,4,0,0,3,1,0,0,0,0,0,3,2,0,0,0,0,0,3,2,1,1,1,0,0,2,1,0,4,4,3,4,4,0,0,3,1,0,0,0,0,0,3,2,0,0,0
61,North Carolina,37,121,-82.164 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4208e5 ,  3.6,  5  ,  0  ,59.9989,5.4485,40.4456,4.613 ,58.1304,5.905 ,74.387 ,5.7237,7.9575, 17.5,0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,North Carolina,37,123,-79.9028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20992e5,128.1,  3.7,  7.4,72.9978,3.4315,51.9944,3.7914,71.3902,3.6943,87.2848,4.628 ,6.1654, 36.8,0.0968,0,0,2,1,2,1,0,0,0,2,0,1,2,2,3,2,3,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,0,0,0,2,0,1,2,2,3,2,3,1,0,0,1,0,0,0,0,0,1,1,1,0,0
63,North Carolina,37,125,-79.485 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51552e5,148.4, 77.1, 16.2,72.9978,3.4315,51.9944,3.7914,71.3902,3.6943,87.2848,4.628 ,6.089 ,  0  ,0.0968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
64,North Carolina,37,127,-77.9882,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47162e5,129.1,  0  , 23.3,73.7297,3.1856,52.9289,3.7273,71.8576,3.8404,88.15  ,4.91  ,4.8442,  0  ,0.1613,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
65,North Carolina,37,129,-77.8649,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40973e5,  7  ,  6.9, 18  ,75.6302,3.6147,57.5456,3.8828,73.644 ,3.8878,87.9348,7.0445,3.5835,  0  ,0.129 ,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,North Carolina,37,131,-77.3976,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51757e5,103.9,  0  , 22.3,71.8264,3.253 ,50.4289,3.5926,69.925 ,3.7237,86.9522,4.1395,4.6974,  0  ,0.0968,0,0,0,0,1,1,1,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,North Carolina,37,133,-77.4132,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24934e5,159.5,  4.8, 96.3,74.733 ,3.7585,55.9422,4.0678,72.6598,3.9077,86.9837,6.3302,3.8067,  0  ,0.129 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,North Carolina,37,135,-79.1181,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2.56646e5, 91.8,  0  ,  4.1,72.1615,3.3876,51.0978,3.6806,70.2565,3.9546,86.9891,4.3126,6.2413,  0  ,0.2258,0,0,0,0,1,0,0,2,3,0,0,0,2,2,4,5,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,3,0,0,0,2,2,4,5,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
69,North Carolina,37,137,-76.6676,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68186e5, 96.7,  2.2, 25.4,74.733 ,3.7585,55.9422,4.0678,72.6598,3.9077,86.9837,6.3302,2.3026,  0  ,0.1613,0,0,0,0,0,1,0,1,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
